Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"2","c#","14065","33","32","",""
"3",".net","2831","138","137","",""
"4","javascript","27039","117","116","",""
"5","java","14508","46","45","",""
"6","hashmap","67","1057","1056","",""
"11","ado.net","122","1061","1060","",""
"12","php","26883","89","88","",""
"13","sms","38","1149","1148","",""
"14","twitter-bootstrap","1427","955","954","",""
"15","ruby-on-rails","761","553","552","",""
"16","css","8473","103","102","",""
"17","public","8","1153","1152","",""
"18","private","22","1151","1150","",""
"19","protected","6","1155","1154","",""
"21","django","1101","870","869","",""
"22","python","9360","48","47","",""
"23","l10n","2","1718","1717","",""
"24","jsf","978","756","755","",""
"25","demoiselle","66","504","503","",""
"26","tomcat","267","941","940","",""
"27","spring","797","809","808","",""
"28","spring-mvc","287","1360","1359","",""
"29","spring-data","111","66112","66111","",""
"30","string","1989","752","751","",""
"31","angularjs","2456","850","849","",""
"33","angularjs-scope","59","","","",""
"34","magento","151","1216","1215","",""
"35","front-end","532","1550","1549","",""
"36","phtml","6","939","938","",""
"38","android","8823","81","80","",""
"39","eclipse","488","811","810","",""
"41","datetime","472","758","757","",""
"43","mysql","10253","387","386","",""
"44","sql","6972","654","653","",""
"45","youtube","80","1030","1029","",""
"46","extjs","20","754","753","",""
"47","panel","24","1420","1419","",""
"48","ruby","678","803","802","",""
"49","irb","3","1228","1227","",""
"52","linq","584","861","860","",""
"53","entity-framework","1235","1063","1062","",""
"54","qt","181","621","620","",""
"55","c++","2395","251","250","",""
"57","sql-server","2839","656","655","",""
"61","jboss","104","1065","1064","",""
"64","testes","229","762","761","",""
"65","jasmine","23","1230","1229","",""
"67","generators","15","1222","1221","",""
"70","sbt","3","1422","1421","",""
"71","jquery","11316","646","645","",""
"72","oracle-database","1156","768","767","",""
"74","job","15","1392","1391","",""
"75","t-sql","109","749","748","",""
"76","alfresco","3","1374","1373","",""
"77","liferay","2","1542","1541","",""
"78","ecm","2","12683","12682","",""
"79","cms","28","1544","1543","",""
"80","iis","243","980","979","",""
"81","asp.net","1881","744","743","",""
"82","asp.net-mvc","3383","680","679","",""
"83","html5","3898","746","745","",""
"84","web-worker","9","1476","1475","",""
"85","signalr","28","1147","1146","",""
"86","html","14386","740","739","",""
"87","google-chrome","250","1088","1087","",""
"89","google-chrome-extensão","74","1738","1737","",""
"90","git","949","154","153","",""
"91","vim","24","162","161","",""
"92","nginx","135","1174","1173","",""
"93","gzip","19","1055","1054","",""
"94","laravel","2768","1167","1166","",""
"95","laravel-4","139","459","458","",""
"96","loop","719","1051","1050","",""
"97","matplotlib","149","389","388","",""
"99","latex","84","1090","1089","",""
"100","json","3136","648","647","",""
"101","versionamento","152","1026","1025","",""
"104","spring-security","148","1533","1532","",""
"110","brasil","21","852","851","",""
"111","nfe","102","1034","1033","",""
"113","código-aberto","14","1342","1341","",""
"114","cdi","83","28838","28837","",""
"115","jee","22","1483","1482","",""
"118","orm","98","799","798","",""
"119","nhibernate","106","1176","1175","",""
"121","hsqldb","12","74284","74283","",""
"122","junit","114","1163","1162","",""
"123","xml","1011","805","804","",""
"124","ssis","28","1122","1121","",""
"125","wmi","9","264","263","",""
"128","algoritmo","755","854","853","",""
"129","api","1445","845","844","",""
"130","restful","198","1584","1583","",""
"131","http","465","1069","1068","",""
"132","release","14","1140","1139","",""
"134","primefaces","736","998","997","",""
"135","django-rest-framework","69","","","",""
"136","recursão","252","1038","1037","",""
"151","dbunit","2","1370","1369","",""
"152","postgresql","1470","787","786","",""
"153","packages","63","1582","1581","",""
"154","regex","1297","764","763","",""
"156","css3","1947","644","643","",""
"157","firefox","118","1458","1457","",""
"159","base64","67","996","995","",""
"162","svg","163","1134","1133","",""
"163","webdesign","40","1472","1471","",""
"164","data-uri","3","1200","1199","",""
"169","angularjs-directives","139","388929","388928","",""
"171","r","2603","1136","1135","",""
"172","xmpp","3","1418","1417","",""
"176","ubuntu","384","1426","1425","",""
"177","microsoft-excel","1169","1202","1201","",""
"178","vba","841","1116","1115","",""
"179","doctrine","94","1096","1095","",""
"180","logo","1","1214","1213","",""
"181","lisp","19","1075","1074","",""
"184","asp.net-mvc-5","932","986","985","",""
"185","vector","79","1464","1463","",""
"186","stl","14","1018","1017","",""
"187","typescript","1259","1024","1023","",""
"189","composer","185","1537","1536","",""
"190","linux","1011","864","863","",""
"192","controles","18","1196","1195","",""
"193","vb.net","675","1022","1021","",""
"194","enums","122","983","982","",""
"196","cep","33","883","882","",""
"200","sparkleshare","1","1576","1575","",""
"201","visual-studio","839","791","790","",""
"202","visual-studio-2012","41","876","875","",""
"203","visual-studio-2013","181","878","877","",""
"204","microsoft-help-viewer","2","","","",""
"205","assembly","171","1079","1078","",""
"206","x86","26","1014","1013","",""
"207","intel","9","1259","1258","",""
"208","numpy","181","1424","1423","",""
"210","compressão-de-imagem","13","1428","1427","",""
"211","qml","22","1032","1031","",""
"213","sha1","19","1036","1035","",""
"214","querystring","32","797","796","",""
"215","ajax","3364","813","812","",""
"218","rest","553","766","765","",""
"221","wpf","410","789","788","",""
"222","temas","19","1248","1247","",""
"223","office-2013","8","1488","1487","",""
"226","sqlite","651","937","936","",""
"227","sqlite3","136","1535","1534","",""
"228","addclass","11","1623","1622","",""
"232","mootools","11","760","759","",""
"234","delphi","1373","1077","1076","",""
"235","firedac","52","1651","1650","",""
"240","mamp","8","1540","1539","",""
"241","freetds","2","1368","1367","",""
"243","impressão","101","573","572","",""
"247","timestamp","84","1102","1101","",""
"250","zend","96","959","958","",""
"251","tabela-zebrada","1","1435","1434","",""
"253","moodle","44","1218","1217","",""
"254","web-service","921","1126","1125","",""
"255","hibernate","922","933","932","",""
"256","jpa-2.0","103","1740","1739","",""
"257","criteria","55","1337","1336","",""
"258","combobox","164","990","989","",""
"259","selecteditem","12","","","",""
"261","abap","8","1073","1072","",""
"263","lado-do-cliente","28","1206","1205","",""
"266","f#","6","1071","1070","",""
"269","banco-de-dados","3516","650","649","",""
"271","modelagem","342","1617","1616","",""
"272","email","362","1204","1203","",""
"273","gmail","41","1456","1455","",""
"277","smtp","72","1046","1045","",""
"279","maven","316","994","993","",""
"280","abntex2","3","1548","1547","",""
