Site,CreationMonth,UsersCount,DistinctNetworkAccounts,TotalReputation,AvgReputation,MinReputation,MaxReputation,StdReputation,TotalProfileViews,AvgProfileViews,MinProfileViews,MaxProfileViews,TotalUpVotesCast,AvgUpVotesCast,MinUpVotesCast,MaxUpVotesCast,TotalDownVotesCast,AvgDownVotesCast,MinDownVotesCast,MaxDownVotesCast,TotalVotesCast,AvgVotesCast,MinVotesCast,MaxVotesCast,NetVotesCast,AvgNetVotesCast,MinNetVotesCast,MaxNetVotesCast,UpvoteDownvoteRatio,AvgAccountAgeDays,MinAccountAgeDays,MaxAccountAgeDays,AvgDaysSinceLastAccess,MinDaysSinceLastAccess,MaxDaysSinceLastAccess,UsersWithWebsite,UsersWithoutWebsite,UsersWithAboutMe,UsersWithoutAboutMe,UsersWithProfileImage,UsersWithoutProfileImage,UsersWithNetworkAccount,UsersWithoutNetworkAccount
"StackExchange.Ai","2026-05-01 00:00:00","191","191","1319","6.9057591623036645","1","121","23.406061255571956","70","0.36649214659685864","0","22","6","0.031413612565445025","0","3","0","0","0","0","6","0.031413612565445025","0","3","6","0.031413612565445025","0","3","","13.900523560209423","6","21","13.25130890052356","6","21","50","141","64","127","0","191","191","0"
"StackExchange.Astronomy","2026-05-01 00:00:00","240","240","1224","5.1","1","363","28.169659336118546","73","0.30416666666666664","0","13","7","0.029166666666666667","0","3","0","0","0","0","7","0.029166666666666667","0","3","7","0.029166666666666667","0","3","","13.158333333333333","6","21","12.8","6","21","13","227","34","206","0","240","240","0"
"StackExchange.Computergraphics","2026-05-01 00:00:00","33","33","433","13.121212121212121","1","101","33.14339826398084","7","0.21212121212121213","0","2","4","0.12121212121212122","0","4","0","0","0","0","4","0.12121212121212122","0","4","4","0.12121212121212122","0","4","","12.424242424242424","6","21","12.363636363636363","6","21","13","20","15","18","0","33","33","0"
"StackExchange.Cs","2026-05-01 00:00:00","168","168","1330","7.916666666666667","1","111","25.08033002358255","26","0.15476190476190477","0","6","7","0.041666666666666664","0","2","0","0","0","0","7","0.041666666666666664","0","2","7","0.041666666666666664","0","2","","13.833333333333334","6","21","13.428571428571429","6","21","30","138","52","116","0","168","168","0"
"StackExchange.Cseducators","2026-05-01 00:00:00","35","35","55","1.5714285714285714","1","21","3.3806170189140663","15","0.42857142857142855","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","13","6","21","12.485714285714286","6","21","23","12","27","8","0","35","35","0"
"StackExchange.Cstheory","2026-05-01 00:00:00","53","53","403","7.60377358490566","1","101","24.094636829546744","12","0.22641509433962265","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","12.49056603773585","6","21","12.075471698113208","6","21","20","33","25","28","0","53","53","0"
"StackExchange.Datascience","2026-05-01 00:00:00","317","317","905","2.854889589905363","1","131","13.674947633845036","31","0.09779179810725552","0","13","5","0.015772870662460567","0","2","0","0","0","0","5","0.015772870662460567","0","2","5","0.015772870662460567","0","2","","13.943217665615142","6","21","13.50788643533123","6","21","30","287","44","273","0","317","317","0"
"StackExchange.Earthscience","2026-05-01 00:00:00","118","118","218","1.847457627118644","1","101","9.205746178983235","5","0.0423728813559322","0","3","1","0.00847457627118644","0","1","0","0","0","0","1","0.00847457627118644","0","1","1","0.00847457627118644","0","1","","12.983050847457626","6","21","12.94915254237288","6","21","9","109","15","103","0","118","118","0"
"StackExchange.Engineering","2026-05-01 00:00:00","294","294","1014","3.4489795918367347","1","111","15.50478674230951","22","0.07482993197278912","0","2","1","0.003401360544217687","0","1","0","0","0","0","1","0.003401360544217687","0","1","1","0.003401360544217687","0","1","","12.959183673469388","6","21","12.738095238095237","6","21","19","275","26","268","0","294","294","0"
"StackExchange.Genai","2026-05-01 00:00:00","42","42","552","13.142857142857142","1","111","33.46171560380348","7","0.16666666666666666","0","2","10","0.23809523809523808","0","7","0","0","0","0","10","0.23809523809523808","0","7","10","0.23809523809523808","0","7","","12.047619047619047","6","21","11.785714285714286","6","21","11","31","14","28","0","42","42","0"
"StackExchange.Math","2026-05-01 00:00:00","3124","3122","9095","2.9113316261203583","1","1054","23.595565280024655","1034","0.33098591549295775","0","150","149","0.04769526248399488","0","92","5","0.0016005121638924455","0","5","154","0.04929577464788732","0","97","144","0.046094750320102434","0","87","29.8","13.473111395646606","6","21","12.731434058898847","5","21","97","3027","146","2978","0","3124","3122","2"
"StackExchange.Matheducators","2026-05-01 00:00:00","121","121","2283","18.867768595041323","1","350","58.46821674333847","55","0.45454545454545453","0","16","11","0.09090909090909091","0","5","2","0.01652892561983471","0","1","13","0.10743801652892562","0","5","9","0.0743801652892562","-1","5","5.5","13.958677685950413","6","21","13.347107438016529","6","21","11","110","15","106","0","121","121","0"
"StackExchange.Mathoverflow","2026-05-01 00:00:00","961","961","6257","6.510926118626431","1","565","31.64464368966062","2684","2.792924037460978","0","243","33","0.03433922996878252","0","9","2","0.002081165452653486","0","1","35","0.036420395421436005","0","10","31","0.03225806451612903","0","8","16.5","13.074921956295526","6","21","12.31633714880333","5","21","244","717","320","641","0","961","961","0"
"StackExchange.Physics","2026-05-01 00:00:00","1588","1588","4048","2.5491183879093198","1","101","11.347608659301406","417","0.26259445843828716","0","35","10","0.006297229219143577","0","1","0","0","0","0","10","0.006297229219143577","0","1","10","0.006297229219143577","0","1","","13.467884130982368","6","21","12.947103274559193","5","21","47","1541","83","1505","0","1588","1588","0"
"StackExchange.Quant","2026-05-01 00:00:00","175","175","485","2.7714285714285714","1","101","13.031980368127897","21","0.12","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","13.662857142857144","6","21","13.06857142857143","5","21","24","151","35","140","0","175","175","0"
"StackExchange.Quantumcomputing","2026-05-01 00:00:00","95","95","423","4.4526315789473685","1","101","17.60425989371252","43","0.45263157894736844","0","5","37","0.3894736842105263","0","37","0","0","0","0","37","0.3894736842105263","0","37","37","0.3894736842105263","0","37","","13.305263157894737","6","21","12.410526315789474","6","21","14","81","19","76","0","95","95","0"
"StackExchange.Robotics","2026-05-01 00:00:00","140","140","552","3.942857142857143","1","101","16.72708200355178","22","0.15714285714285714","0","3","3","0.02142857142857143","0","3","0","0","0","0","3","0.02142857142857143","0","3","3","0.02142857142857143","0","3","","13.6","6","21","12.714285714285714","6","21","22","118","26","114","0","140","140","0"
"StackExchange.Scicomp","2026-05-01 00:00:00","49","49","434","8.857142857142858","1","101","25","9","0.1836734693877551","0","3","3","0.061224489795918366","0","2","0","0","0","0","3","0.061224489795918366","0","2","3","0.061224489795918366","0","2","","13.326530612244898","6","21","12.755102040816327","6","20","6","43","13","36","0","49","49","0"
"StackExchange.Stats","2026-05-01 00:00:00","728","728","3496","4.802197802197802","1","121","18.183064073389737","121","0.1662087912087912","0","18","14","0.019230769230769232","0","3","0","0","0","0","14","0.019230769230769232","0","3","14","0.019230769230769232","0","3","","13.813186813186814","6","21","13.30631868131868","5","21","58","670","78","650","0","728","728","0"
"StackExchange.Tex","2026-05-01 00:00:00","1171","1171","4107","3.5072587532023913","1","151","15.165601210831735","148","0.1263877028181042","0","10","21","0.017933390264730998","0","8","0","0","0","0","21","0.017933390264730998","0","8","21","0.017933390264730998","0","8","","13.450896669513236","6","21","12.842869342442357","5","21","16","1155","36","1135","0","1171","1171","0"
"StackOverflow","2026-05-01 00:00:00","54121","54121","58024","1.0721161841059847","1","129","2.19767535977097","8482","0.15672289868997247","0","97","1528","0.028233033388148778","0","6","530","0.009792871528611814","0","3","2058","0.03802590491676059","0","6","998","0.018440161859536962","-3","6","2.883018867924528","13.272962436022986","6","21","12.682600099776426","5","21","2200","51921","2363","51758","0","54121","54121","0"
"StackExchange.Ai","2026-04-01 00:00:00","280","280","2882","10.292857142857143","1","123","29.115022524640835","222","0.7928571428571428","0","52","7","0.025","0","2","0","0","0","0","7","0.025","0","2","7","0.025","0","2","","37.34642857142857","22","51","34.982142857142854","6","51","45","235","75","205","0","280","280","0"
"StackExchange.Astronomy","2026-04-01 00:00:00","480","480","1790","3.7291666666666665","1","111","16.380445064617803","299","0.6229166666666667","0","163","3","0.00625","0","1","0","0","0","0","3","0.00625","0","1","3","0.00625","0","1","","36.84375","22","51","35.99583333333333","6","51","30","450","45","435","0","480","480","0"
"StackExchange.Computergraphics","2026-04-01 00:00:00","88","88","830","9.431818181818182","1","101","27.44013146920076","17","0.19318181818181818","0","4","3","0.03409090909090909","0","2","0","0","0","0","3","0.03409090909090909","0","2","3","0.03409090909090909","0","2","","37.71590909090909","22","51","36.94318181818182","8","51","24","64","38","50","0","88","88","0"
"StackExchange.Cs","2026-04-01 00:00:00","296","296","2096","7.081081081081081","1","119","23.79446268400533","136","0.4594594594594595","0","10","4","0.013513513513513514","0","3","0","0","0","0","4","0.013513513513513514","0","3","4","0.013513513513513514","0","3","","35.46283783783784","22","51","34.266891891891895","7","51","36","260","84","212","0","296","296","0"
"StackExchange.Cseducators","2026-04-01 00:00:00","52","52","172","3.3076923076923075","1","101","13.948839942683634","12","0.23076923076923078","0","3","1","0.019230769230769232","0","1","0","0","0","0","1","0.019230769230769232","0","1","1","0.019230769230769232","0","1","","36.80769230769231","22","51","36.40384615384615","18","51","19","33","26","26","0","52","52","0"
"StackExchange.Cstheory","2026-04-01 00:00:00","104","104","1906","18.326923076923077","1","161","38.72994433895923","54","0.5192307692307693","0","10","5","0.04807692307692308","0","2","0","0","0","0","5","0.04807692307692308","0","2","5","0.04807692307692308","0","2","","37.67307692307692","22","51","34.40384615384615","7","51","22","82","33","71","0","104","104","0"
"StackExchange.Datascience","2026-04-01 00:00:00","351","351","3295","9.387464387464387","1","383","33.97290116899076","107","0.30484330484330485","0","20","20","0.05698005698005698","0","11","0","0","0","0","20","0.05698005698005698","0","11","20","0.05698005698005698","0","11","","35.0997150997151","22","51","33.20797720797721","6","51","44","307","73","278","0","351","351","0"
"StackExchange.Earthscience","2026-04-01 00:00:00","261","261","1101","4.218390804597701","1","141","17.648768939867683","16","0.06130268199233716","0","4","5","0.019157088122605363","0","3","0","0","0","0","5","0.019157088122605363","0","3","5","0.019157088122605363","0","3","","37.36015325670498","22","51","36.509578544061306","7","51","17","244","32","229","0","261","261","0"
"StackExchange.Engineering","2026-04-01 00:00:00","586","586","1586","2.7064846416382253","1","121","12.722784955458481","400","0.6825938566552902","0","38","3","0.005119453924914676","0","2","0","0","0","0","3","0.005119453924914676","0","2","3","0.005119453924914676","0","2","","35.93174061433447","22","51","34.84470989761092","5","51","29","557","42","544","0","586","586","0"
"StackExchange.Genai","2026-04-01 00:00:00","99","99","1916","19.353535353535353","1","176","40.64287299304565","134","1.3535353535353536","0","40","9","0.09090909090909091","0","5","0","0","0","0","9","0.09090909090909091","0","5","9","0.09090909090909091","0","5","","36.82828282828283","22","51","35.09090909090909","7","51","22","77","32","67","0","99","99","0"
"StackExchange.Math","2026-04-01 00:00:00","6274","6274","18689","2.9788014026139624","1","566","15.652145760872008","2779","0.4429391138029965","0","153","222","0.035384124960153016","0","62","14","0.0022314313037934334","0","7","236","0.03761555626394644","0","66","208","0.03315269365635958","-2","58","15.857142857142858","36.35033471469557","22","51","32.96636914249283","5","51","219","6055","325","5949","0","6274","6274","0"
"StackExchange.Matheducators","2026-04-01 00:00:00","197","197","1713","8.695431472081218","1","367","35.340163736174404","59","0.29949238578680204","0","32","10","0.050761421319796954","0","4","0","0","0","0","10","0.050761421319796954","0","4","10","0.050761421319796954","0","4","","36","22","51","34.588832487309645","6","51","17","180","31","166","0","197","197","0"
"StackExchange.Mathoverflow","2026-04-01 00:00:00","1835","1835","8795","4.79291553133515","1","341","20.739035256509013","6261","3.4119891008174386","0","102","59","0.032152588555858314","0","17","2","0.0010899182561307902","0","2","61","0.0332425068119891","0","19","57","0.03106267029972752","0","15","29.5","36.59782016348774","22","51","32.99400544959128","5","51","452","1383","557","1278","0","1835","1835","0"
"StackExchange.Physics","2026-04-01 00:00:00","3099","3099","8395","2.7089383672152305","1","449","15.749629427913549","1960","0.6324620845434011","0","85","50","0.016134236850596968","0","17","0","0","0","0","50","0.016134236850596968","0","17","50","0.016134236850596968","0","17","","36.49983865763149","22","51","34.51565020974508","6","51","77","3022","142","2957","0","3099","3099","0"
"StackExchange.Quant","2026-04-01 00:00:00","338","338","1850","5.4733727810650885","1","146","21.202028089755522","111","0.32840236686390534","0","25","2","0.005917159763313609","0","2","0","0","0","0","2","0.005917159763313609","0","2","2","0.005917159763313609","0","2","","36.26627218934911","22","51","33.387573964497044","6","51","39","299","54","284","0","338","338","0"
"StackExchange.Quantumcomputing","2026-04-01 00:00:00","185","185","1361","7.356756756756757","1","161","24.280567249262237","131","0.7081081081081081","0","13","23","0.12432432432432433","0","13","0","0","0","0","23","0.12432432432432433","0","13","23","0.12432432432432433","0","13","","36.454054054054055","22","51","33.545945945945945","6","51","34","151","46","139","0","185","185","0"
"StackExchange.Robotics","2026-04-01 00:00:00","318","318","1152","3.6226415094339623","1","101","15.698330898551497","119","0.3742138364779874","0","10","3","0.009433962264150943","0","2","0","0","0","0","3","0.009433962264150943","0","2","3","0.009433962264150943","0","2","","34.918238993710695","22","51","32.430817610062896","5","51","53","265","71","247","0","318","318","0"
"StackExchange.Scicomp","2026-04-01 00:00:00","111","111","1177","10.603603603603604","1","121","29.50108758527673","24","0.21621621621621623","0","3","4","0.036036036036036036","0","2","0","0","0","0","4","0.036036036036036036","0","2","4","0.036036036036036036","0","2","","37.126126126126124","22","51","34.549549549549546","6","51","24","87","34","77","0","111","111","0"
"StackExchange.Stats","2026-04-01 00:00:00","1397","1397","5395","3.8618468146027203","1","193","16.380205409322226","238","0.17036506800286327","0","11","15","0.010737294201861132","0","3","0","0","0","0","15","0.010737294201861132","0","3","15","0.010737294201861132","0","3","","35.841088045812455","22","51","33.286327845382964","5","51","92","1305","140","1257","0","1397","1397","0"
"StackExchange.Tex","2026-04-01 00:00:00","2235","2235","8672","3.8800894854586128","1","678","21.768105831812054","383","0.17136465324384786","0","40","49","0.02192393736017897","0","7","0","0","0","0","49","0.02192393736017897","0","7","49","0.02192393736017897","0","7","","36.76241610738255","22","51","33.5834451901566","6","51","42","2193","69","2166","0","2235","2235","0"
"StackOverflow","2026-04-01 00:00:00","111951","111951","119761","1.0697626640226527","1","162","2.1576978815920302","20147","0.1799626622361569","0","82","3723","0.03325562076265509","0","79","1343","0.011996319818492019","0","210","5066","0.04525194058114711","0","289","2380","0.021259300944163072","-131","25","2.7721518987341773","36.34668739001885","22","51","33.43581566935534","5","51","4135","107816","6344","105607","0","111951","111951","0"
"StackExchange.Ai","2026-03-01 00:00:00","297","297","2517","8.474747474747474","1","111","26.046090942766313","1897","6.3872053872053876","0","42","13","0.04377104377104377","0","9","0","0","0","0","13","0.04377104377104377","0","9","13","0.04377104377104377","0","9","","68.05387205387206","52","82","64.46801346801347","5","82","64","233","93","204","0","297","297","0"
"StackExchange.Astronomy","2026-03-01 00:00:00","588","588","2336","3.9727891156462585","1","141","16.881366027479782","355","0.6037414965986394","0","22","13","0.022108843537414966","0","3","0","0","0","0","13","0.022108843537414966","0","3","13","0.022108843537414966","0","3","","68.70068027210884","52","82","66.78571428571429","6","82","25","563","53","535","0","588","588","0"
"StackExchange.Computergraphics","2026-03-01 00:00:00","75","75","685","9.133333333333333","1","101","27.296833463189774","36","0.48","0","34","3","0.04","0","2","0","0","0","0","3","0.04","0","2","3","0.04","0","2","","66.22666666666667","52","82","62.946666666666665","7","82","21","54","27","48","0","75","75","0"
"StackExchange.Cs","2026-03-01 00:00:00","304","304","2029","6.6743421052631575","1","103","22.610546902914898","272","0.8947368421052632","0","9","11","0.03618421052631579","0","4","0","0","0","0","11","0.03618421052631579","0","4","11","0.03618421052631579","0","4","","67.4967105263158","52","82","62.32565789473684","5","82","35","269","71","233","0","304","304","0"
"StackExchange.Cseducators","2026-03-01 00:00:00","79","79","479","6.063291139240507","1","101","22.06478908203439","8","0.10126582278481013","0","4","4","0.05063291139240506","0","3","0","0","0","0","4","0.05063291139240506","0","3","4","0.05063291139240506","0","3","","68.75949367088607","52","82","66.65822784810126","9","82","24","55","33","46","0","79","79","0"
"StackExchange.Cstheory","2026-03-01 00:00:00","126","126","1458","11.571428571428571","1","103","30.62324047423553","255","2.0238095238095237","0","38","8","0.06349206349206349","0","2","0","0","0","0","8","0.06349206349206349","0","2","8","0.06349206349206349","0","2","","68.03968253968254","52","82","63.1031746031746","11","82","22","104","47","79","0","126","126","0"
"StackExchange.Datascience","2026-03-01 00:00:00","377","377","2239","5.938992042440319","1","133","20.89077450980737","57","0.15119363395225463","0","11","13","0.034482758620689655","0","4","0","0","0","0","13","0.034482758620689655","0","4","13","0.034482758620689655","0","4","","67.13527851458886","52","82","64.54907161803713","6","82","41","336","68","309","0","377","377","0"
"StackExchange.Earthscience","2026-03-01 00:00:00","325","325","1314","4.0430769230769235","1","153","16.862131300188754","165","0.5076923076923077","0","38","8","0.024615384615384615","0","5","0","0","0","0","8","0.024615384615384615","0","5","8","0.024615384615384615","0","5","","67.99076923076923","52","82","66.20615384615385","6","82","19","306","42","283","0","325","325","0"
"StackExchange.Engineering","2026-03-01 00:00:00","666","666","1988","2.984984984984985","1","123","13.748976713794592","457","0.6861861861861862","0","87","8","0.012012012012012012","0","3","0","0","0","0","8","0.012012012012012012","0","3","8","0.012012012012012012","0","3","","67.81981981981981","52","82","66.11861861861861","7","82","27","639","56","610","0","666","666","0"
"StackExchange.Genai","2026-03-01 00:00:00","103","103","2290","22.233009708737864","1","139","40.930405756144786","222","2.1553398058252426","0","42","11","0.10679611650485436","0","3","0","0","0","0","11","0.10679611650485436","0","3","11","0.10679611650485436","0","3","","65.12621359223301","52","82","63.13592233009709","5","82","23","80","30","73","0","103","103","0"
"StackExchange.Math","2026-03-01 00:00:00","7199","7199","23556","3.2721211279344353","1","933","20.861561956292597","3144","0.43672732323933877","0","118","309","0.04292262814279761","0","61","3","0.00041672454507570494","0","1","312","0.04333935268787332","0","61","306","0.042505903597721904","0","61","103","67.5352132240589","52","82","60.34115849423531","5","82","168","7031","300","6899","0","7199","7199","0"
"StackExchange.Matheducators","2026-03-01 00:00:00","183","183","1411","7.7103825136612025","1","203","27.154386676685323","33","0.18032786885245902","0","8","13","0.07103825136612021","0","7","0","0","0","0","13","0.07103825136612021","0","7","13","0.07103825136612021","0","7","","67.93442622950819","52","82","66.04371584699453","12","82","10","173","19","164","0","183","183","0"
"StackExchange.Mathoverflow","2026-03-01 00:00:00","2101","2101","14984","7.131841980009519","1","1241","47.527798781703176","6589","3.136125654450262","0","408","435","0.20704426463588768","0","315","33","0.015706806282722512","0","29","468","0.22275107091861018","0","315","402","0.19133745835316515","-1","315","13.181818181818182","66.77962874821513","52","82","59.461208948119946","5","82","599","1502","772","1329","0","2101","2101","0"
"StackExchange.Physics","2026-03-01 00:00:00","3653","3653","10654","2.91650698056392","1","513","15.24591711481164","3458","0.9466192170818505","0","47","41","0.011223651793046812","0","6","1","0.0002737476047084588","0","1","42","0.01149739939775527","0","6","40","0.010949904188338352","0","6","41","67.52559540104023","52","82","63.35012318642212","6","82","110","3543","175","3478","0","3653","3653","0"
"StackExchange.Quant","2026-03-01 00:00:00","431","431","1588","3.6844547563805103","1","101","15.827785830464135","116","0.2691415313225058","0","7","20","0.04640371229698376","0","13","0","0","0","0","20","0.04640371229698376","0","13","20","0.04640371229698376","0","13","","66.43619489559164","52","82","61.15777262180975","6","82","54","377","82","349","0","431","431","0"
"StackExchange.Quantumcomputing","2026-03-01 00:00:00","189","189","1129","5.973544973544974","1","101","19.250430739152655","178","0.9417989417989417","0","54","6","0.031746031746031744","0","2","0","0","0","0","6","0.031746031746031744","0","2","6","0.031746031746031744","0","2","","68.95767195767196","52","82","61.77248677248677","6","82","22","167","41","148","0","189","189","0"
"StackExchange.Robotics","2026-03-01 00:00:00","307","307","1123","3.6579804560260585","1","111","15.33749815005318","152","0.495114006514658","0","10","4","0.013029315960912053","0","3","0","0","0","0","4","0.013029315960912053","0","3","4","0.013029315960912053","0","3","","67.09120521172639","52","82","59.358306188925084","7","82","10","297","31","276","0","307","307","0"
"StackExchange.Scicomp","2026-03-01 00:00:00","109","109","729","6.6880733944954125","1","101","22.947886712879598","10","0.09174311926605505","0","2","2","0.01834862385321101","0","1","0","0","0","0","2","0.01834862385321101","0","1","2","0.01834862385321101","0","1","","67.33944954128441","52","82","65.37614678899082","11","82","26","83","41","68","0","109","109","0"
"StackExchange.Stats","2026-03-01 00:00:00","1641","1641","7012","4.273004265691651","1","271","17.585084001009","1132","0.6898232784887264","0","40","44","0.02681291895185862","0","10","0","0","0","0","44","0.02681291895185862","0","10","44","0.02681291895185862","0","10","","66.84034125533212","52","82","61.806215722120655","6","82","113","1528","152","1489","0","1641","1641","0"
"StackExchange.Tex","2026-03-01 00:00:00","2579","2579","10846","4.205506010081427","1","316","18.245599295286652","324","0.12563008918185342","0","11","96","0.03722373012795657","0","32","0","0","0","0","96","0.03722373012795657","0","32","96","0.03722373012795657","0","32","","67.02210158976348","52","82","60.441256300891816","6","82","35","2544","82","2497","0","2579","2579","0"
"StackOverflow","2026-03-01 00:00:00","134319","134318","143997","1.072052352980591","1","171","2.2277063809596664","19537","0.14545224428412956","0","120","4585","0.03413515586030271","0","49","1347","0.010028365309449892","0","4","5932","0.044163521169752605","0","51","3238","0.02410679055085282","-3","47","3.4038604305864886","67.34062939718133","52","82","61.09595068456436","5","82","4387","129932","5012","129307","0","134319","134319","0"
"StackExchange.Ai","2026-02-01 00:00:00","328","328","3166","9.652439024390244","1","703","45.141516454306625","457","1.3932926829268293","0","91","19","0.057926829268292686","0","5","0","0","0","0","19","0.057926829268292686","0","5","19","0.057926829268292686","0","5","","97.33231707317073","83","110","92.54878048780488","7","110","54","274","79","249","0","328","328","0"
"StackExchange.Astronomy","2026-02-01 00:00:00","585","585","2279","3.8957264957264957","1","391","21.49333439666147","306","0.5230769230769231","0","90","6","0.010256410256410256","0","2","0","0","0","0","6","0.010256410256410256","0","2","6","0.010256410256410256","0","2","","97.23931623931624","83","110","94.24273504273505","10","110","39","546","61","524","0","585","585","0"
"StackExchange.Computergraphics","2026-02-01 00:00:00","61","61","661","10.836065573770492","1","101","30.027309973793777","0","0","0","0","17","0.2786885245901639","0","8","0","0","0","0","17","0.2786885245901639","0","8","17","0.2786885245901639","0","8","","97.44262295081967","83","110","94.22950819672131","36","110","19","42","27","34","0","61","61","0"
"StackExchange.Cs","2026-02-01 00:00:00","327","327","2079","6.3577981651376145","1","173","22.956155704028582","531","1.6238532110091743","0","15","2","0.0061162079510703364","0","1","0","0","0","0","2","0.0061162079510703364","0","1","2","0.0061162079510703364","0","1","","97.09480122324159","83","110","91.68501529051987","7","110","43","284","84","243","0","327","327","0"
"StackExchange.Cseducators","2026-02-01 00:00:00","77","77","97","1.2597402597402598","1","21","2.279211529192759","12","0.15584415584415584","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","97.48051948051948","83","110","95.01298701298701","12","110","34","43","40","37","0","77","77","0"
"StackExchange.Cstheory","2026-02-01 00:00:00","113","113","818","7.238938053097345","1","101","22.78128709531888","512","4.530973451327434","0","48","2","0.017699115044247787","0","2","0","0","0","0","2","0.017699115044247787","0","2","2","0.017699115044247787","0","2","","96.95575221238938","83","110","90.01769911504425","7","110","26","87","43","70","0","113","113","0"
"StackExchange.Datascience","2026-02-01 00:00:00","405","405","2361","5.82962962962963","1","223","22.676439360936033","103","0.254320987654321","0","9","15","0.037037037037037035","0","3","0","0","0","0","15","0.037037037037037035","0","3","15","0.037037037037037035","0","3","","97.68395061728395","83","110","93.65185185185184","10","110","41","364","68","337","0","405","405","0"
"StackExchange.Earthscience","2026-02-01 00:00:00","340","340","942","2.7705882352941176","1","133","13.464484681396254","46","0.13529411764705881","0","12","1","0.0029411764705882353","0","1","0","0","0","0","1","0.0029411764705882353","0","1","1","0.0029411764705882353","0","1","","97.94705882352942","83","110","96.56176470588235","16","110","19","321","38","302","0","340","340","0"
"StackExchange.Engineering","2026-02-01 00:00:00","668","668","1988","2.9760479041916166","1","129","13.123768837321574","663","0.9925149700598802","0","39","8","0.011976047904191617","0","2","0","0","0","0","8","0.011976047904191617","0","2","8","0.011976047904191617","0","2","","96.69311377245509","83","110","93.92215568862275","7","110","30","638","48","620","0","668","668","0"
"StackExchange.Genai","2026-02-01 00:00:00","115","115","3326","28.921739130434784","1","269","52.761985887982185","386","3.356521739130435","0","57","25","0.21739130434782608","0","6","3","0.02608695652173913","0","3","28","0.24347826086956523","0","9","22","0.19130434782608696","0","5","8.333333333333334","96.89565217391305","83","110","90.06086956521739","37","110","47","68","63","52","0","115","115","0"
"StackExchange.Math","2026-02-01 00:00:00","7806","7806","23889","3.060338201383551","1","851","21.115837984786744","2928","0.37509607993850885","0","164","434","0.055598257750448375","0","65","24","0.0030745580322828594","0","12","458","0.05867281578273123","0","77","410","0.05252369971816551","0","63","18.083333333333332","97.00281834486293","83","110","86.42838841916475","5","110","172","7634","293","7513","0","7806","7806","0"
"StackExchange.Matheducators","2026-02-01 00:00:00","241","241","2009","8.336099585062241","1","191","28.379406848218448","54","0.22406639004149378","0","18","13","0.05394190871369295","0","4","0","0","0","0","13","0.05394190871369295","0","4","13","0.05394190871369295","0","4","","96.73029045643153","83","110","92.80497925311204","7","110","14","227","25","216","0","241","241","0"
"StackExchange.Mathoverflow","2026-02-01 00:00:00","1763","1763","9290","5.26942711287578","1","545","24.605525967308925","3862","2.1905842314237094","0","241","84","0.0476460578559274","0","20","6","0.003403289846851957","0","2","90","0.05104934770277935","0","20","78","0.04424276800907544","-2","20","14","96.49120816789564","83","110","84.50368689733409","5","110","459","1304","579","1184","0","1763","1763","0"
