Site,UsersCount,DistinctNetworkAccounts,TotalReputation,AvgReputation,MinReputation,MaxReputation,TotalProfileViews,AvgProfileViews,MinProfileViews,MaxProfileViews,TotalUpVotesCast,AvgUpVotesCast,MinUpVotesCast,MaxUpVotesCast,TotalDownVotesCast,AvgDownVotesCast,MinDownVotesCast,MaxDownVotesCast,TotalVotesCast,AvgVotesCast,MinVotesCast,MaxVotesCast,NetVotesCast,AvgNetVotesCast,MinNetVotesCast,MaxNetVotesCast,UpvoteDownvoteRatio,UsersWithWebsite,UsersWithoutWebsite,UsersWithAboutMe,UsersWithoutAboutMe,UsersWithProfileImage,UsersWithoutProfileImage,UsersWithNetworkAccount,UsersWithoutNetworkAccount
"StackOverflow","31196878","31183438","2050173188","65.71725504071273","1","1527241","329737478","10.569566544447172","0","2370396","185869197","5.957942233835065","0","113777","22976035","0.7364850739231021","0","284903","208845232","6.6944273077581675","0","289726","162893162","5.221457159911963","-280080","113777","8.089698548944584","2540007","28656871","3500679","27696199","0","31196878","31183602","13276"
"StackExchange.Math","1595235","1591099","117934470","73.9292141910126","1","638235","30876876","19.355691167758984","0","271843","9114174","5.713373891620984","0","113513","1138134","0.7134585186508571","0","74050","10252308","6.426832410271841","0","113513","7976040","4.9999153729701264","-60496","113513","8.007997300845068","72347","1522888","147516","1447719","0","1595235","1591115","4120"
"StackExchange.Mathoverflow","507555","506297","26393828","52.001907182472834","1","249512","17346645","34.176877382746696","0","284942","2452725","4.832431953187339","0","59476","175245","0.345272926086828","0","8293","2627970","5.177704879274168","0","67769","2277480","4.487159027100511","-7489","51183","13.995977060686467","292863","214692","316038","191517","0","507555","506302","1253"
"StackExchange.Physics","493491","491663","26382729","53.4614187492781","1","375625","13788260","27.94024612404279","0","137693","1774098","3.5949956534161718","0","31958","294346","0.5964566729687066","0","22443","2068444","4.191452326384878","0","31958","1479752","2.998538980447465","-19193","31958","6.027253640273692","33647","459844","66730","426761","0","493491","491666","1825"
"StackExchange.Stats","433655","432134","25551575","58.92143524230091","1","347294","10634872","24.52380809629775","0","157623","1549153","3.572316703370191","0","135087","55767","0.1285976179220809","0","4142","1604920","3.7009143212922715","0","139207","1493386","3.4437190854481097","-856","130967","27.77902702314989","34129","399526","62374","371281","0","433655","432136","1519"
"StackExchange.Tex","381794","380141","39381625","103.14888395312656","1","1264539","7462372","19.54554550359618","0","94782","2951599","7.730867954970481","0","83130","30482","0.07983886598532193","0","3960","2982081","7.8107068209558035","0","83358","2921117","7.651029088985159","-420","82902","96.83088380027557","36124","345670","61802","319992","0","381794","380146","1648"
"StackExchange.Datascience","164987","164060","7053587","42.75238049058411","1","30058","2307478","13.98581706437477","0","4699","186283","1.1290768363568038","0","4793","13760","0.08340051034323917","0","2156","200043","1.212477346700043","0","4793","172523","1.0456763260135646","-1521","4793","13.538008720930232","21524","143463","40632","124355","0","164987","164067","920"
"StackExchange.Cs","157055","155678","9393839","59.81241603260005","1","281345","2911735","18.539588042405526","0","39515","316741","2.0167520932157523","0","22023","35587","0.22658941135271082","0","9898","352328","2.2433415045684635","0","31921","281154","1.7901626818630416","-1115","20038","8.900469272487145","25518","131537","45214","111841","0","157055","155679","1376"
"StackExchange.Ai","88953","88323","3362883","37.80516677346464","1","43701","687861","7.7328589254999835","0","8340","71395","0.8026148640293188","0","3447","8295","0.09325149236113453","0","3403","79690","0.8958663563904534","0","6813","63100","0.7093633716681843","-722","3416","8.606992163954189","13256","75697","23561","65392","0","88953","88327","626"
"StackExchange.Engineering","69655","69259","2153016","30.909712152752853","1","24395","1455225","20.891895772019236","0","4424","69892","1.0034024836695141","0","2595","7282","0.10454382312827507","0","1392","77174","1.107946306797789","0","3911","62610","0.898858660541239","-369","2361","9.59791266135677","5967","63688","12730","56925","0","69655","69259","396"
"StackExchange.Quant","68658","68180","3226388","46.992164059541494","1","28159","829099","12.075781409304087","0","7866","143048","2.08348626525678","0","5741","12289","0.1789886102129395","0","1402","155337","2.2624748754697195","0","5741","130759","1.9044976550438404","-204","5741","11.640328749287981","7808","60850","13483","55175","0","68658","68181","477"
"StackExchange.Astronomy","60132","59669","3550706","59.048526574868625","1","175795","443149","7.369603538881128","0","6467","169263","2.8148573139093993","0","4877","16595","0.2759761857247389","0","1361","185858","3.0908334996341384","0","5557","152668","2.5388811281846606","-770","4197","10.199638445314854","8043","52089","15764","44368","0","60132","59670","462"
"StackExchange.Cstheory","55300","54581","4809822","86.9768896925859","1","51455","1122689","20.301790235081373","0","13757","231112","4.179240506329114","0","9744","26962","0.48755877034358047","0","3935","258074","4.666799276672695","0","13679","204150","3.6916817359855334","-1601","6397","8.57176767302129","13773","41527","20152","35148","0","55300","54582","718"
"StackExchange.Robotics","42980","42653","1615141","37.57889716147045","1","39473","115877","2.696067938576082","0","701","35804","0.8330386226151698","0","1684","2469","0.05744532340623546","0","517","38273","0.8904839460214053","0","2136","33335","0.7755932992089344","-115","1666","14.501417577966787","6042","36938","10527","32453","0","42980","42653","327"
"StackExchange.Scicomp","42826","42319","2666839","62.27149395227198","1","59004","199860","4.6667912016065","0","5852","94979","2.217788259468547","0","3554","4430","0.10344183439966376","0","937","99409","2.321230093868211","0","3651","90549","2.1143464250688835","-512","3462","21.43995485327314","8685","34141","14924","27902","0","42826","42319","507"
