MonthStart,Month Year,Cumulative Unanswered Questions,Cumulative No Answers At All,New Questions,Newly Answered Questions,NewlyGotFirstAnswer,NetChangeInUnanswered,NetChangeInNoAnswersAtAll
2016-08-01,2016-08-01,578,432,1897,1319,1465,578,432
2016-09-01,2016-09-01,1048,753,1848,1378,1527,470,321
2016-10-01,2016-10-01,1578,1088,2079,1549,1744,530,335
2016-11-01,2016-11-01,2027,1365,2033,1584,1756,449,277
2016-12-01,2016-12-01,2480,1694,1858,1405,1529,453,329
2017-01-01,2017-01-01,2959,1983,2206,1727,1917,479,289
2017-02-01,2017-02-01,3437,2288,1866,1388,1561,478,305
2017-03-01,2017-03-01,4129,2717,2445,1753,2016,692,429
2017-04-01,2017-04-01,4669,3041,1978,1438,1654,540,324
2017-05-01,2017-05-01,5330,3403,2450,1789,2088,661,362
2017-06-01,2017-06-01,6024,3852,2569,1875,2120,694,449
2017-07-01,2017-07-01,6710,4290,2483,1797,2045,686,438
2017-08-01,2017-08-01,7379,4694,2728,2059,2324,669,404
2017-09-01,2017-09-01,8085,5135,2678,1972,2237,706,441
2017-10-01,2017-10-01,8955,5693,3128,2258,2570,870,558
2017-11-01,2017-11-01,9768,6217,2685,1872,2161,813,524
2017-12-01,2017-12-01,10379,6553,2133,1522,1797,611,336
2018-01-01,2018-01-01,11043,6918,2324,1660,1959,664,365
2018-02-01,2018-02-01,11645,7282,2027,1425,1663,602,364
2018-03-01,2018-03-01,12221,7608,2242,1666,1916,576,326
2018-04-01,2018-04-01,12917,8034,2338,1642,1912,696,426
2018-05-01,2018-05-01,13725,8526,2673,1865,2181,808,492
2018-06-01,2018-06-01,14498,9001,2427,1654,1952,773,475
2018-07-01,2018-07-01,15093,9331,2156,1561,1826,595,330
2018-08-01,2018-08-01,15825,9740,2302,1570,1893,732,409
2018-09-01,2018-09-01,16468,10126,2041,1398,1655,643,386
2018-10-01,2018-10-01,17072,10397,2035,1431,1764,604,271
2018-11-01,2018-11-01,17612,10659,1856,1316,1594,540,262
2018-12-01,2018-12-01,17995,10843,1490,1107,1306,383,184
2019-01-01,2019-01-01,18378,11062,1517,1134,1298,383,219
2019-02-01,2019-02-01,18761,11248,1611,1228,1425,383,186
2019-03-01,2019-03-01,19263,11499,2040,1538,1789,502,251
2019-04-01,2019-04-01,19876,11835,2061,1448,1725,613,336
2019-05-01,2019-05-01,20544,12162,2214,1546,1887,668,327
2019-06-01,2019-06-01,20949,12339,1479,1074,1302,405,177
2019-07-01,2019-07-01,21442,12581,1712,1219,1470,493,242
2019-08-01,2019-08-01,21899,12800,1552,1095,1333,457,219
2019-09-01,2019-09-01,22282,12965,1344,961,1179,383,165
2019-10-01,2019-10-01,22626,13106,1239,895,1098,344,141
2019-11-01,2019-11-01,22927,13250,1090,789,946,301,144
2019-12-01,2019-12-01,23132,13332,851,646,769,205,82
2020-01-01,2020-01-01,23348,13389,911,695,854,216,57
2020-02-01,2020-02-01,23564,13471,834,618,752,216,82
2020-03-01,2020-03-01,23899,13603,1061,726,929,335,132
2020-04-01,2020-04-01,24245,13723,1124,778,1004,346,120
2020-05-01,2020-05-01,24561,13816,1102,786,1009,316,93
2020-06-01,2020-06-01,24855,13928,920,626,808,294,112
2020-07-01,2020-07-01,25176,14007,924,603,845,321,79
2020-08-01,2020-08-01,25416,14051,780,540,736,240,44
2020-09-01,2020-09-01,25629,14104,741,528,688,213,53
2020-10-01,2020-10-01,25842,14180,826,613,750,213,76
2020-11-01,2020-11-01,26099,14294,752,495,638,257,114
2020-12-01,2020-12-01,26368,14436,715,446,573,269,142
2021-01-01,2021-01-01,26756,14646,996,608,786,388,210
2021-02-01,2021-02-01,27050,14803,926,632,769,294,157
2021-03-01,2021-03-01,27283,14882,684,451,605,233,79
2021-04-01,2021-04-01,27479,14919,545,349,508,196,37
2021-05-01,2021-05-01,27645,14957,514,348,476,166,38
2021-06-01,2021-06-01,27809,14970,491,327,478,164,13
2021-07-01,2021-07-01,28046,15034,510,273,446,237,64
2021-08-01,2021-08-01,28290,15128,551,307,457,244,94
2021-09-01,2021-09-01,28432,15141,401,259,388,142,13
2021-10-01,2021-10-01,28558,15145,316,190,312,126,4
2021-11-01,2021-11-01,28706,15179,334,186,300,148,34
2021-12-01,2021-12-01,28802,15192,242,146,229,96,13
2022-01-01,2022-01-01,28949,15215,311,164,288,147,23
2022-02-01,2022-02-01,29058,15228,260,151,247,109,13
2022-03-01,2022-03-01,29224,15236,353,187,345,166,8
2022-04-01,2022-04-01,29375,15259,330,179,307,151,23
2022-05-01,2022-05-01,29566,15302,365,174,322,191,43
2022-06-01,2022-06-01,29742,15310,332,156,324,176,8
2022-07-01,2022-07-01,29885,15326,256,113,240,143,16
2022-08-01,2022-08-01,30064,15364,313,134,275,179,38
2022-09-01,2022-09-01,30203,15401,273,134,236,139,37
2022-10-01,2022-10-01,30388,15418,322,137,305,185,17
2022-11-01,2022-11-01,30554,15447,278,112,249,166,29
2022-12-01,2022-12-01,30679,15457,234,109,224,125,10
2023-01-01,2023-01-01,30816,15470,251,114,238,137,13
2023-02-01,2023-02-01,30939,15501,222,99,191,123,31
