query_file,chars,mentions_stackoverflow,mentions_pt_endpoint,mentions_postswithdeleted,mentions_posts
all-db-names-from-db-system.txt,172,True,False,False,False
cumulative-unanswered-questions-per-month.txt,5281,False,True,False,True
History-Sum-By-Month-Per-Year-of-Votes-by-Tag.txt,1169,False,False,False,True
new-answers-per-day-since-2008.txt,415,False,False,True,True
new-answers-per-month-since-2008.txt,541,True,False,True,True
new-question-activity-per-day-since-2008.txt,220,False,False,False,True
new-question-activity-per-month-since-2008.txt,384,True,False,False,True
new-questions-per-day-by-sites-since-2008.txt,5383,True,False,False,True
tags-db.txt,18,False,False,False,False
user-metrics-by-site-by-month-all-time.txt,4005,True,False,False,False
user-static-metrics-by-several-site-all-time.txt,3558,True,False,False,False
