Date,Status,NewAnswers
"2013-12-01 00:00:00","deleted","70"
"2013-12-01 00:00:00","non-deleted","547"
"2014-01-01 00:00:00","deleted","204"
"2014-01-01 00:00:00","non-deleted","1034"
"2014-02-01 00:00:00","deleted","321"
"2014-02-01 00:00:00","non-deleted","2362"
"2014-03-01 00:00:00","deleted","244"
"2014-03-01 00:00:00","non-deleted","1753"
"2014-04-01 00:00:00","deleted","253"
"2014-04-01 00:00:00","non-deleted","1534"
"2014-05-01 00:00:00","deleted","210"
"2014-05-01 00:00:00","non-deleted","1659"
"2014-06-01 00:00:00","deleted","208"
"2014-06-01 00:00:00","non-deleted","1474"
"2014-07-01 00:00:00","deleted","256"
"2014-07-01 00:00:00","non-deleted","1618"
"2014-08-01 00:00:00","deleted","262"
"2014-08-01 00:00:00","non-deleted","1761"
"2014-09-01 00:00:00","deleted","285"
"2014-09-01 00:00:00","non-deleted","1618"
"2014-10-01 00:00:00","deleted","239"
"2014-10-01 00:00:00","non-deleted","1553"
"2014-11-01 00:00:00","deleted","263"
"2014-11-01 00:00:00","non-deleted","1595"
"2014-12-01 00:00:00","deleted","257"
"2014-12-01 00:00:00","non-deleted","1474"
"2015-01-01 00:00:00","deleted","277"
"2015-01-01 00:00:00","non-deleted","1555"
"2015-02-01 00:00:00","deleted","262"
"2015-02-01 00:00:00","non-deleted","1609"
"2015-03-01 00:00:00","deleted","306"
"2015-03-01 00:00:00","non-deleted","1824"
"2015-04-01 00:00:00","deleted","300"
"2015-04-01 00:00:00","non-deleted","1982"
"2015-05-01 00:00:00","deleted","398"
"2015-05-01 00:00:00","non-deleted","2169"
"2015-06-01 00:00:00","deleted","432"
"2015-06-01 00:00:00","non-deleted","2343"
"2015-07-01 00:00:00","deleted","420"
"2015-07-01 00:00:00","non-deleted","2487"
"2015-08-01 00:00:00","deleted","404"
"2015-08-01 00:00:00","non-deleted","2255"
"2015-09-01 00:00:00","deleted","460"
"2015-09-01 00:00:00","non-deleted","2451"
"2015-10-01 00:00:00","deleted","436"
"2015-10-01 00:00:00","non-deleted","2625"
"2015-11-01 00:00:00","deleted","407"
"2015-11-01 00:00:00","non-deleted","2490"
"2015-12-01 00:00:00","deleted","399"
"2015-12-01 00:00:00","non-deleted","2376"
"2016-01-01 00:00:00","deleted","380"
"2016-01-01 00:00:00","non-deleted","2042"
"2016-02-01 00:00:00","deleted","438"
"2016-02-01 00:00:00","non-deleted","2139"
"2016-03-01 00:00:00","deleted","462"
"2016-03-01 00:00:00","non-deleted","2175"
"2016-04-01 00:00:00","deleted","504"
"2016-04-01 00:00:00","non-deleted","2052"
"2016-05-01 00:00:00","deleted","508"
"2016-05-01 00:00:00","non-deleted","2196"
"2016-06-01 00:00:00","deleted","532"
"2016-06-01 00:00:00","non-deleted","2316"
"2016-07-01 00:00:00","deleted","544"
"2016-07-01 00:00:00","non-deleted","2349"
"2016-08-01 00:00:00","deleted","513"
"2016-08-01 00:00:00","non-deleted","2290"
"2016-09-01 00:00:00","deleted","507"
"2016-09-01 00:00:00","non-deleted","2336"
"2016-10-01 00:00:00","deleted","592"
"2016-10-01 00:00:00","non-deleted","2709"
"2016-11-01 00:00:00","deleted","587"
"2016-11-01 00:00:00","non-deleted","2640"
"2016-12-01 00:00:00","deleted","538"
"2016-12-01 00:00:00","non-deleted","2241"
"2017-01-01 00:00:00","deleted","587"
"2017-01-01 00:00:00","non-deleted","2936"
"2017-02-01 00:00:00","deleted","653"
"2017-02-01 00:00:00","non-deleted","2330"
"2017-03-01 00:00:00","deleted","713"
"2017-03-01 00:00:00","non-deleted","2941"
"2017-04-01 00:00:00","deleted","672"
"2017-04-01 00:00:00","non-deleted","2363"
"2017-05-01 00:00:00","deleted","747"
"2017-05-01 00:00:00","non-deleted","2985"
"2017-06-01 00:00:00","deleted","834"
"2017-06-01 00:00:00","non-deleted","3159"
"2017-07-01 00:00:00","deleted","665"
"2017-07-01 00:00:00","non-deleted","2938"
"2017-08-01 00:00:00","deleted","845"
"2017-08-01 00:00:00","non-deleted","3412"
"2017-09-01 00:00:00","deleted","835"
"2017-09-01 00:00:00","non-deleted","3203"
"2017-10-01 00:00:00","deleted","880"
"2017-10-01 00:00:00","non-deleted","3716"
"2017-11-01 00:00:00","deleted","779"
"2017-11-01 00:00:00","non-deleted","3023"
"2017-12-01 00:00:00","deleted","683"
"2017-12-01 00:00:00","non-deleted","2491"
"2018-01-01 00:00:00","deleted","717"
"2018-01-01 00:00:00","non-deleted","2658"
"2018-02-01 00:00:00","deleted","656"
"2018-02-01 00:00:00","non-deleted","2320"
"2018-03-01 00:00:00","deleted","778"
"2018-03-01 00:00:00","non-deleted","2656"
"2018-04-01 00:00:00","deleted","813"
"2018-04-01 00:00:00","non-deleted","2665"
"2018-05-01 00:00:00","deleted","862"
"2018-05-01 00:00:00","non-deleted","3042"
"2018-06-01 00:00:00","deleted","819"
"2018-06-01 00:00:00","non-deleted","2713"
"2018-07-01 00:00:00","deleted","753"
"2018-07-01 00:00:00","non-deleted","2535"
"2018-08-01 00:00:00","deleted","727"
"2018-08-01 00:00:00","non-deleted","2659"
"2018-09-01 00:00:00","deleted","693"
"2018-09-01 00:00:00","non-deleted","2288"
"2018-10-01 00:00:00","deleted","797"
"2018-10-01 00:00:00","non-deleted","2421"
"2018-11-01 00:00:00","deleted","708"
"2018-11-01 00:00:00","non-deleted","2176"
"2018-12-01 00:00:00","deleted","672"
"2018-12-01 00:00:00","non-deleted","1844"
"2019-01-01 00:00:00","deleted","648"
"2019-01-01 00:00:00","non-deleted","1848"
"2019-02-01 00:00:00","deleted","610"
"2019-02-01 00:00:00","non-deleted","2110"
"2019-03-01 00:00:00","deleted","815"
"2019-03-01 00:00:00","non-deleted","2532"
"2019-04-01 00:00:00","deleted","798"
"2019-04-01 00:00:00","non-deleted","2360"
"2019-05-01 00:00:00","deleted","863"
"2019-05-01 00:00:00","non-deleted","2668"
"2019-06-01 00:00:00","deleted","638"
"2019-06-01 00:00:00","non-deleted","1817"
"2019-07-01 00:00:00","deleted","652"
"2019-07-01 00:00:00","non-deleted","2074"
"2019-08-01 00:00:00","deleted","639"
"2019-08-01 00:00:00","non-deleted","1854"
"2019-09-01 00:00:00","deleted","577"
"2019-09-01 00:00:00","non-deleted","1604"
"2019-10-01 00:00:00","deleted","588"
"2019-10-01 00:00:00","non-deleted","1556"
"2019-11-01 00:00:00","deleted","519"
"2019-11-01 00:00:00","non-deleted","1356"
"2019-12-01 00:00:00","deleted","453"
"2019-12-01 00:00:00","non-deleted","1087"
"2020-01-01 00:00:00","deleted","539"
"2020-01-01 00:00:00","non-deleted","1197"
"2020-02-01 00:00:00","deleted","462"
"2020-02-01 00:00:00","non-deleted","1071"
"2020-03-01 00:00:00","deleted","467"
"2020-03-01 00:00:00","non-deleted","1267"
"2020-04-01 00:00:00","deleted","608"
"2020-04-01 00:00:00","non-deleted","1377"
"2020-05-01 00:00:00","deleted","655"
"2020-05-01 00:00:00","non-deleted","1388"
"2020-06-01 00:00:00","deleted","596"
"2020-06-01 00:00:00","non-deleted","1152"
"2020-07-01 00:00:00","deleted","479"
"2020-07-01 00:00:00","non-deleted","1247"
"2020-08-01 00:00:00","deleted","491"
"2020-08-01 00:00:00","non-deleted","1076"
"2020-09-01 00:00:00","deleted","483"
"2020-09-01 00:00:00","non-deleted","972"
"2020-10-01 00:00:00","deleted","500"
"2020-10-01 00:00:00","non-deleted","1072"
"2020-11-01 00:00:00","deleted","461"
"2020-11-01 00:00:00","non-deleted","879"
"2020-12-01 00:00:00","deleted","474"
"2020-12-01 00:00:00","non-deleted","818"
"2021-01-01 00:00:00","deleted","598"
"2021-01-01 00:00:00","non-deleted","1097"
"2021-02-01 00:00:00","deleted","567"
"2021-02-01 00:00:00","non-deleted","1094"
"2021-03-01 00:00:00","deleted","599"
"2021-03-01 00:00:00","non-deleted","826"
"2021-04-01 00:00:00","deleted","486"
"2021-04-01 00:00:00","non-deleted","704"
"2021-05-01 00:00:00","deleted","457"
"2021-05-01 00:00:00","non-deleted","692"
"2021-06-01 00:00:00","deleted","437"
"2021-06-01 00:00:00","non-deleted","687"
"2021-07-01 00:00:00","deleted","399"
"2021-07-01 00:00:00","non-deleted","608"
"2021-08-01 00:00:00","deleted","431"
"2021-08-01 00:00:00","non-deleted","610"
"2021-09-01 00:00:00","deleted","379"
"2021-09-01 00:00:00","non-deleted","542"
"2021-10-01 00:00:00","deleted","310"
"2021-10-01 00:00:00","non-deleted","448"
"2021-11-01 00:00:00","deleted","283"
"2021-11-01 00:00:00","non-deleted","401"
"2021-12-01 00:00:00","deleted","278"
"2021-12-01 00:00:00","non-deleted","321"
"2022-01-01 00:00:00","deleted","313"
"2022-01-01 00:00:00","non-deleted","406"
"2022-02-01 00:00:00","deleted","302"
"2022-02-01 00:00:00","non-deleted","363"
"2022-03-01 00:00:00","deleted","390"
"2022-03-01 00:00:00","non-deleted","486"
"2022-04-01 00:00:00","deleted","394"
"2022-04-01 00:00:00","non-deleted","423"
"2022-05-01 00:00:00","deleted","372"
"2022-05-01 00:00:00","non-deleted","441"
"2022-06-01 00:00:00","deleted","376"
"2022-06-01 00:00:00","non-deleted","443"
"2022-07-01 00:00:00","deleted","354"
"2022-07-01 00:00:00","non-deleted","347"
"2022-08-01 00:00:00","deleted","352"
"2022-08-01 00:00:00","non-deleted","387"
"2022-09-01 00:00:00","deleted","282"
"2022-09-01 00:00:00","non-deleted","347"
"2022-10-01 00:00:00","deleted","283"
"2022-10-01 00:00:00","non-deleted","424"
"2022-11-01 00:00:00","deleted","271"
"2022-11-01 00:00:00","non-deleted","357"
"2022-12-01 00:00:00","deleted","262"
"2022-12-01 00:00:00","non-deleted","334"
"2023-01-01 00:00:00","deleted","255"
"2023-01-01 00:00:00","non-deleted","348"
"2023-02-01 00:00:00","deleted","205"
"2023-02-01 00:00:00","non-deleted","278"
"2023-03-01 00:00:00","deleted","189"
"2023-03-01 00:00:00","non-deleted","245"
"2023-04-01 00:00:00","deleted","154"
"2023-04-01 00:00:00","non-deleted","184"
