Date,NewQuestions
"2013-12-01 00:00:00","272"
"2014-01-01 00:00:00","439"
"2014-02-01 00:00:00","1114"
"2014-03-01 00:00:00","999"
"2014-04-01 00:00:00","952"
"2014-05-01 00:00:00","1036"
"2014-06-01 00:00:00","1070"
"2014-07-01 00:00:00","1067"
"2014-08-01 00:00:00","1136"
"2014-09-01 00:00:00","1098"
"2014-10-01 00:00:00","1142"
"2014-11-01 00:00:00","1273"
"2014-12-01 00:00:00","1121"
"2015-01-01 00:00:00","1198"
"2015-02-01 00:00:00","1280"
"2015-03-01 00:00:00","1475"
"2015-04-01 00:00:00","1551"
"2015-05-01 00:00:00","1853"
"2015-06-01 00:00:00","1891"
"2015-07-01 00:00:00","1921"
"2015-08-01 00:00:00","1680"
"2015-09-01 00:00:00","1858"
"2015-10-01 00:00:00","2026"
"2015-11-01 00:00:00","1910"
"2015-12-01 00:00:00","1748"
"2016-01-01 00:00:00","1604"
"2016-02-01 00:00:00","1680"
"2016-03-01 00:00:00","1743"
"2016-04-01 00:00:00","1703"
"2016-05-01 00:00:00","1852"
"2016-06-01 00:00:00","1938"
"2016-07-01 00:00:00","1897"
"2016-08-01 00:00:00","1897"
"2016-09-01 00:00:00","1848"
"2016-10-01 00:00:00","2079"
"2016-11-01 00:00:00","2033"
"2016-12-01 00:00:00","1858"
"2017-01-01 00:00:00","2206"
"2017-02-01 00:00:00","1866"
"2017-03-01 00:00:00","2445"
"2017-04-01 00:00:00","1978"
"2017-05-01 00:00:00","2449"
"2017-06-01 00:00:00","2569"
"2017-07-01 00:00:00","2483"
"2017-08-01 00:00:00","2728"
"2017-09-01 00:00:00","2678"
"2017-10-01 00:00:00","3128"
"2017-11-01 00:00:00","2685"
"2017-12-01 00:00:00","2133"
"2018-01-01 00:00:00","2324"
"2018-02-01 00:00:00","2027"
"2018-03-01 00:00:00","2242"
"2018-04-01 00:00:00","2338"
"2018-05-01 00:00:00","2673"
"2018-06-01 00:00:00","2427"
"2018-07-01 00:00:00","2156"
"2018-08-01 00:00:00","2301"
"2018-09-01 00:00:00","2041"
"2018-10-01 00:00:00","2035"
"2018-11-01 00:00:00","1855"
"2018-12-01 00:00:00","1490"
"2019-01-01 00:00:00","1517"
"2019-02-01 00:00:00","1611"
"2019-03-01 00:00:00","2040"
"2019-04-01 00:00:00","2060"
"2019-05-01 00:00:00","2214"
"2019-06-01 00:00:00","1479"
"2019-07-01 00:00:00","1711"
"2019-08-01 00:00:00","1552"
"2019-09-01 00:00:00","1343"
"2019-10-01 00:00:00","1239"
"2019-11-01 00:00:00","1090"
"2019-12-01 00:00:00","851"
"2020-01-01 00:00:00","911"
"2020-02-01 00:00:00","834"
"2020-03-01 00:00:00","1061"
"2020-04-01 00:00:00","1124"
"2020-05-01 00:00:00","1102"
"2020-06-01 00:00:00","920"
"2020-07-01 00:00:00","924"
"2020-08-01 00:00:00","780"
"2020-09-01 00:00:00","741"
"2020-10-01 00:00:00","826"
"2020-11-01 00:00:00","752"
"2020-12-01 00:00:00","715"
"2021-01-01 00:00:00","996"
"2021-02-01 00:00:00","926"
"2021-03-01 00:00:00","684"
"2021-04-01 00:00:00","545"
"2021-05-01 00:00:00","514"
"2021-06-01 00:00:00","491"
"2021-07-01 00:00:00","510"
"2021-08-01 00:00:00","551"
"2021-09-01 00:00:00","401"
"2021-10-01 00:00:00","316"
"2021-11-01 00:00:00","334"
"2021-12-01 00:00:00","242"
"2022-01-01 00:00:00","311"
"2022-02-01 00:00:00","260"
"2022-03-01 00:00:00","353"
"2022-04-01 00:00:00","330"
"2022-05-01 00:00:00","365"
"2022-06-01 00:00:00","332"
"2022-07-01 00:00:00","256"
"2022-08-01 00:00:00","313"
"2022-09-01 00:00:00","273"
"2022-10-01 00:00:00","322"
"2022-11-01 00:00:00","278"
"2022-12-01 00:00:00","234"
"2023-01-01 00:00:00","251"
"2023-02-01 00:00:00","222"
"2023-03-01 00:00:00","179"
"2023-04-01 00:00:00","133"
"2023-05-01 00:00:00","119"
"2023-06-01 00:00:00","71"
"2023-07-01 00:00:00","37"
"2023-08-01 00:00:00","50"
"2023-09-01 00:00:00","80"
"2023-10-01 00:00:00","78"
"2023-11-01 00:00:00","71"
"2023-12-01 00:00:00","54"
"2024-01-01 00:00:00","46"
"2024-02-01 00:00:00","39"
"2024-03-01 00:00:00","34"
"2024-04-01 00:00:00","35"
"2024-05-01 00:00:00","36"
"2024-06-01 00:00:00","25"
"2024-07-01 00:00:00","27"
"2024-08-01 00:00:00","20"
"2024-09-01 00:00:00","11"
"2024-10-01 00:00:00","24"
"2024-11-01 00:00:00","9"
"2024-12-01 00:00:00","8"
"2025-01-01 00:00:00","16"
"2025-02-01 00:00:00","5"
"2025-03-01 00:00:00","8"
"2025-04-01 00:00:00","7"
"2025-05-01 00:00:00","4"
"2025-06-01 00:00:00","6"
"2025-07-01 00:00:00","4"
"2025-08-01 00:00:00","5"
"2025-09-01 00:00:00","1"
"2025-10-01 00:00:00","2"
"2025-12-01 00:00:00","4"
"2026-01-01 00:00:00","2"
"2026-03-01 00:00:00","2"
"2026-05-01 00:00:00","16"
